order_reference,cliente_nombre,fecha_pedido,fecha_despacho,estado,format_codigo,brand_nombre,variety_codigo,requested_boxes,unit_price
1296,FRESHWAVE,2026-04-16T00:00:00.000Z,2026-04-16T00:00:00.000Z,enviado,,,,,
1296,,,,,PINTA LOW PROFILE,FRESHWAVE,3,1296,55.0
124079,FRESHWAVE,2026-04-18T00:00:00.000Z,2026-04-18T00:00:00.000Z,enviado,,,,,
124079,,,,,PINTA LOW PROFILE,FRESHWAVE,3,381,55.0
124079,,,,,PINTA LOW PROFILE,FRESHWAVE,41,723,55.0
124093,FRESHWAVE,2026-04-20T00:00:00.000Z,2026-04-20T00:00:00.000Z,enviado,,,,,
124093,,,,,PINTA REGULAR,FRESHWAVE,3,1510,53.0
124093,,,,,PINTA REGULAR,FRESHWAVE,42,938,53.0
124170,FRESHWAVE,2026-04-30T00:00:00.000Z,2026-04-30T00:00:00.000Z,enviado,,,,,
124170,,,,,PINTA REGULAR,FRESHWAVE,2,1872,24.0
124188,FRESHWAVE,2026-05-05T00:00:00.000Z,2026-05-05T00:00:00.000Z,enviado,,,,,
124188,,,,,8x18oz,FRESHWAVE,45,576,28.0
124188,,,,,8x18oz,FRESHWAVE,44,584,28.0
124188,,,,,8x18oz,FRESHWAVE,42,2584,28.0
141750,FRESHWAVE,2026-04-15T00:00:00.000Z,2026-04-15T00:00:00.000Z,enviado,,,,,
141750,,,,,PINTA LOW PROFILE,FRESHWAVE,3,720,50.0
141751,FRESHWAVE,2026-04-15T00:00:00.000Z,2026-04-15T00:00:00.000Z,enviado,,,,,
141751,,,,,PINTA LOW PROFILE,FRESHWAVE,3,432,50.0
1119200,ALPINE,2026-04-21T00:00:00.000Z,2026-04-21T00:00:00.000Z,enviado,,,,,
1119200,,,,,12x9.8oz,ALPINE,3,432,54.0
1119259,ALPINE,2026-04-25T00:00:00.000Z,2026-04-25T00:00:00.000Z,enviado,,,,,
1119259,,,,,12x9.8oz,ALPINE,MULTI,163,48.5
1119259,,,,,12x9.8oz,ALPINE,41,228,48.5
1119272,ALPINE,2026-04-28T00:00:00.000Z,2026-04-28T00:00:00.000Z,enviado,,,,,
1119272,,,,,12x6oz,ALPINE,45,512,21.0
1119272,,,,,12x6oz,ALPINE,3,507,21.0
1119272,,,,,12x6oz,ALPINE,MULTI,765,21.0
1119285,ALPINE,2026-05-02T00:00:00.000Z,2026-05-02T00:00:00.000Z,enviado,,,,,
1119285,,,,,12x18oz,ALPINE,45,100,40.0
1119285,,,,,12x18oz,ALPINE,42,700,40.0
1119285,,,,,12x18oz,ALPINE,41,200,40.0
1119285,,,,,12x9.8oz,ALPINE,MULTI,314,45.5
1119285,,,,,12x9.8oz,ALPINE,42,1126,45.5
1119295,ALPINE,2026-04-29T00:00:00.000Z,2026-04-29T00:00:00.000Z,enviado,,,,,
1119295,,,,,12x9.8oz,ALPINE,45,359,38.5
1119295,,,,,12x9.8oz,ALPINE,42,721,38.5
1119295,,,,,12x9.8oz,ALPINE,41,360,38.5
1119317,ALPINE,2026-05-02T00:00:00.000Z,2026-05-02T00:00:00.000Z,enviado,,,,,
1119317,,,,,12x9.8oz,ALPINE,BEAUTY,469,35.0
