received_at,document_number,producer_id,variety_id,gross_weight_lb,net_weight_lb,notes,reference_code,plant_code,mercado_id,lbs_reference,lbs_difference,document_state_id,reception_type_id,weight_basis,quality_intent,reception_reference,species_id,quality_grade_id,returnable_container_id,quantity,gross_lb,tare_lb,net_lb,temperature_f
2026-04-11T03:03:00.000Z,,3,3,,1680.00,,JDS-20260410-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260410-001,,,,,,,,
,,,3,,,,,,,,,,,,,JDS-20260410-001,2,1,1,123,0.000,0.000,1680.000,32.00
2026-04-12T03:04:00.000Z,,2,3,,12916.00,,PB-20260411-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260411-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260411-001,2,1,1,807,0.000,0.000,12916.000,32.00
2026-04-13T03:04:00.000Z,,2,3,,7249.00,,PB-20260412-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260412-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260412-001,2,1,1,483,0.000,0.000,7249.000,32.00
2026-04-13T03:05:00.000Z,,51,41,,3563.00,,HBF-20260412-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260412-001,,,,,,,,
,,,41,,,,,,,,,,,,,HBF-20260412-001,2,1,1,309,0.000,0.000,3563.000,32.00
2026-04-15T03:05:00.000Z,,52,3,,4600.00,,KK-20260418-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260418-001,,,,,,,,
,,,3,,,,,,,,,,,,,KK-20260418-001,2,1,1,324,0.000,0.000,4600.000,32.00
2026-04-15T03:06:00.000Z,,52,41,,3500.00,,KK-20260414-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260414-001,,,,,,,,
,,,41,,,,,,,,,,,,,KK-20260414-001,2,1,1,250,0.000,0.000,3500.000,
2026-04-15T03:07:00.000Z,,51,42,,4072.00,,HBF-20260414-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,HBF-20260414-001,,,,,,,,
,,,42,,,,,,,,,,,,,HBF-20260414-001,2,1,1,362,0.000,0.000,4072.000,32.00
2026-04-15T03:07:00.000Z,,2,3,,11853.00,,PB-20260414-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260414-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260414-001,2,1,1,740,0.000,0.000,11853.000,32.00
2026-04-15T03:09:00.000Z,,3,3,,1600.00,,JDS-20260414-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260414-001,,,,,,,,
,,,3,,,,,,,,,,,,,JDS-20260414-001,2,1,1,114,0.000,0.000,1600.000,32.00
2026-04-16T03:09:00.000Z,,53,3,,1900.00,,RF-20260415-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,RF-20260415-001,,,,,,,,
,,,3,,,,,,,,,,,,,RF-20260415-001,2,1,1,146,0.000,0.000,1900.000,32.00
2026-04-16T03:08:00.000Z,,2,3,,10165.00,,PB-20260415-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260415-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260415-001,2,1,1,635,0.000,0.000,10165.000,32.00
2026-04-16T03:11:00.000Z,,3,3,,5722.40,,JDS-20260415-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,JDS-20260415-001,,,,,,,,
,,,3,,,,,,,,,,,,,JDS-20260415-001,2,1,1,385,0.000,0.000,5722.400,32.00
2026-04-17T03:11:00.000Z,,52,3,,3000.00,,KK-20260416-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260416-001,,,,,,,,
,,,3,,,,,,,,,,,,,KK-20260416-001,2,1,1,223,0.000,0.000,3000.000,32.00
2026-04-17T03:12:00.000Z,,51,41,,6300.00,,KK-20260416-002,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,KK-20260416-002,,,,,,,,
,,,41,,,,,,,,,,,,,KK-20260416-002,2,1,1,484,0.000,0.000,6300.000,32.00
2026-04-17T03:13:00.000Z,,2,3,,1520.00,,PB-20260416-001,PINEBLOOM FARMS,1,,,1,1,net_lb,exportacion,PB-20260416-001,,,,,,,,
,,,3,,,,,,,,,,,,,PB-20260416-001,2,1,1,116,0.000,0.000,1520.000,32.00
