order_number,cliente_id,requested_pallets,requested_boxes,order_reference,presentation_format_id,unit_price,brand_id,variety_id
1443100,1,11,1100,1443100,,,,
,,,1100,1443100,1,82.0000,,
1443104,1,3,300,1443104,,,,
,,,300,1443104,1,82.0000,,
141750,2,5,720,141750,,,,
,,,720,141750,33,50.0000,,
141751,2,3,432,141751,,,,
,,,432,141751,33,50.0000,,
1296,2,9,1296,1296,,,,
,,,1296,1296,33,55.0000,,
1443268,1,17,1656,1443268,,,,
,,,1656,1443268,1,82.0000,,
124079,2,8,1104,124079,,,,
,,,1104,124079,33,55.0000,,
1443186,1,17,1700,1443186,,,,
,,,1700,1443186,1,82.0000,,
124093,2,17,2448,124093,,,,
,,,2448,124093,32,53.0000,,
1443214,1,16,1600,1443214,,,,
,,,1600,1443214,1,82.0000,,
1119200,1,3,432,1119200,,,,
,,,432,1119200,36,54.0000,,
2027545,1,6,732,2027545,,,,
,,,300,2027545,1,77.0000,,
,,,432,2027545,32,46.0000,,
2027535,1,10,1220,2027535,,,,
,,,500,2027535,1,77.0000,,
,,,720,2027535,32,46.0000,,
2027560,1,9,1164,2027560,,,,
,,,300,2027560,1,77.0000,,
,,,864,2027560,32,46.0000,,
2027571,1,16,1732,2027571,,,,
,,,1300,2027571,1,70.0000,,
,,,432,2027571,32,42.0000,,
1443318,1,18,1800,1443318,,,,
,,,1800,1443318,1,76.0000,,
1827128,1,18,2484,1827128,,,,
,,,1296,1827128,2,49.0000,,
,,,288,1827128,36,52.0000,,
,,,900,1827128,32,46.0000,,
2027608,1,10,1132,2027608,,,,
,,,700,2027608,1,62.0000,,
,,,432,2027608,32,35.0000,,
1119259,1,3,391,1119259,,,,
,,,391,1119259,36,48.5000,,
1443305,1,22,2200,1443305,,,,
,,,2200,1443305,1,72.0000,,
